Date,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
4/1/2020,Republic of Tatarstan,16,0,0,1,19,0,2
4/1/2020,Komi Republic,11,32,0,0,54,0,1
4/1/2020,Ryazan Oblast,62,0,0,1,5,0,1
4/1/2020,Samara Region,63,0,0,1,15,0,2
4/1/2020,St. Petersburg,78,27,0,0,125,2,7
4/1/2020,Saratov region,64,11,0,1,15,0,1
4/1/2020,Sakhalin region,65,1,0,0,5,0,0
4/1/2020,Sverdlovsk region,66,0,0,7,33,0,8
4/1/2020,Stavropol region,26,4,0,1,10,0,1
4/1/2020,Tambov Region,68,3,0,0,6,0,1
4/1/2020,Tver region,69,1,0,0,5,0,2
4/1/2020,Tula region,71,5,0,0,17,0,3
4/1/2020,Udmurt republic,18,0,0,3,4,0,3
4/1/2020,Khabarovsk region,27,1,0,0,9,0,0
4/1/2020,Khanty-Mansiysk,86,3,0,0,8,0,0
4/1/2020,Chelyabinsk region,74,6,0,2,20,0,2
4/1/2020,Chechen Republic,95,1,1,0,10,1,0
4/1/2020,The Republic of Sakha (Yakutia),14,0,0,1,15,0,1
4/2/2020,Altai region,22,1,0,0,4,0,0
4/2/2020,Belgorod region,31,1,0,0,6,0,1
4/2/2020,Vologda Region,35,3,0,0,12,0,0
4/2/2020,Ivanovo region,37,0,0,1,11,0,1
4/2/2020,Irkutsk region,38,4,0,0,7,0,0
4/2/2020,Kaliningrad region,39,7,0,0,19,0,5
4/2/2020,Kaluga region,40,2,0,1,5,0,1
4/2/2020,Kirov region,43,0,0,2,12,0,5
4/2/2020,Krasnodar region,23,0,0,1,22,0,4
4/2/2020,Krasnoyarsk region,24,5,0,0,25,0,4
4/2/2020,Leningrad region,47,11,0,0,31,0,1
4/2/2020,Lipetsk region,48,4,0,0,15,0,3
4/2/2020,Moscow,77,595,3,25,2475,19,140
4/2/2020,Moscow region,50,43,0,0,177,2,17
4/2/2020,Murmansk region,51,4,0,0,15,0,1
4/2/2020,Nizhny Novgorod Region,52,13,0,3,25,0,4
4/2/2020,Omsk region,55,1,0,0,8,0,0
4/2/2020,Orenburg region,56,5,0,0,12,1,0
4/2/2020,Perm,59,7,1,1,20,2,1
4/2/2020,Primorsky Krai,25,0,0,1,5,0,2
4/2/2020,Republic of Adygea,1,1,0,0,5,0,0
4/2/2020,Republic of Bashkortostan,2,2,0,0,10,0,1
4/2/2020,The Republic of Buryatia,3,5,0,0,30,0,0
4/2/2020,The Republic of Dagestan,5,10,0,0,25,0,0
4/2/2020,Republic of Crimea,82,0,0,1,16,0,1
4/2/2020,Mari El Republic,12,2,0,0,4,0,0
4/2/2020,Republic of North Ossetia - Alania,15,2,0,0,4,0,0
4/2/2020,Komi Republic,11,2,0,0,56,0,1
4/2/2020,Rostov region,61,4,0,0,9,0,0
4/2/2020,Samara Region,63,2,0,0,17,0,2
4/2/2020,St. Petersburg,78,22,0,0,147,2,7
4/2/2020,Sverdlovsk region,66,5,0,0,38,0,8
4/2/2020,Stavropol region,26,1,0,0,11,0,1
4/2/2020,Tambov Region,68,0,0,0,6,0,1
4/2/2020,Chelyabinsk region,74,1,0,0,21,0,2
4/2/2020,The Republic of Sakha (Yakutia),14,0,0,3,15,0,4
4/2/2020,Yamalo-Nenets Autonomous Okrug,89,2,0,0,2,0,0
4/3/2020,Arkhangelsk region,29,1,0,0,8,0,0
4/3/2020,Astrakhan region,30,3,0,0,5,0,0
4/3/2020,Bryansk region,32,2,0,0,7,0,0
4/3/2020,Jewish Autonomous Region,79,3,0,0,3,0,0
4/3/2020,Ivanovo region,37,2,0,0,13,0,1
4/3/2020,Irkutsk region,38,1,0,0,8,0,0
4/3/2020,Kirov region,43,3,0,0,15,0,3
4/3/2020,Krasnodar region,23,17,0,0,39,0,4
4/3/2020,Kursk region,46,1,0,0,4,0,0
4/3/2020,Leningrad region,47,10,0,0,41,0,1
4/3/2020,Lipetsk region,48,3,0,0,18,0,3
4/3/2020,Moscow,77,448,1,28,2923,20,168
4/3/2020,Moscow region,50,34,0,0,211,2,17
4/3/2020,Omsk region,55,1,0,0,9,0,0
4/3/2020,Penza region,58,11,0,0,27,1,0
4/3/2020,Perm,59,1,0,2,21,2,3
4/3/2020,Primorsky Krai,25,2,1,0,7,1,2
4/3/2020,Republic of Bashkortostan,2,0,0,4,10,0,5
4/3/2020,The Republic of Buryatia,3,1,0,0,31,0,0
4/3/2020,The Republic of Ingushetia,6,1,0,0,1,0,0
4/3/2020,Republic of Kalmykia,8,5,0,0,7,0,0
4/3/2020,Republic of Crimea,82,2,0,0,18,0,1
4/3/2020,Republic of Tatarstan,16,6,0,4,25,0,6
4/3/2020,Chuvash Republic,21,1,0,0,2,0,0
4/3/2020,Komi Republic,11,0,2,0,56,2,1
4/3/2020,Ryazan Oblast,62,1,0,0,6,0,1
4/3/2020,Samara Region,63,0,0,5,17,0,7
4/3/2020,St. Petersburg,78,9,0,0,156,2,7
4/3/2020,Saratov region,64,4,0,0,19,0,1
4/3/2020,Sverdlovsk region,66,1,0,5,39,0,13
4/3/2020,Stavropol region,26,0,0,3,11,0,4
4/3/2020,Tambov Region,68,0,0,0,6,0,1
4/3/2020,Tver region,69,1,0,0,6,0,2
4/3/2020,Tyumen region,72,5,0,0,11,0,2
4/3/2020,Ulyanovsk region,73,0,0,1,1,0,1
4/3/2020,Khabarovsk region,27,1,0,0,10,0,0
4/3/2020,Khanty-Mansiysk,86,8,0,2,16,0,2
4/3/2020,Chelyabinsk region,74,2,0,0,23,0,2
4/3/2020,Chechen Republic,95,2,0,0,12,1,0
4/3/2020,Yamalo-Nenets Autonomous Okrug,89,10,0,0,12,0,0
4/4/2020,Altai region,22,3,0,0,7,0,0
4/4/2020,Amurskaya Oblast,28,3,0,0,4,0,0
4/4/2020,Arkhangelsk region,29,0,0,3,8,0,3
4/4/2020,Belgorod region,31,1,0,0,7,0,1
4/4/2020,Bryansk region,32,12,0,0,19,0,0
4/4/2020,Volgograd region,34,0,0,1,8,0,1
4/4/2020,Vologda Region,35,1,0,0,13,0,0
4/4/2020,Voronezh region,36,2,0,0,14,0,2
4/4/2020,Ivanovo region,37,10,0,0,23,0,1
4/4/2020,Kaluga region,40,1,0,0,6,0,1
4/4/2020,Kirov region,43,3,0,0,18,0,1
4/4/2020,Kostroma region,44,5,1,0,8,1,0
4/4/2020,Kurgan region,45,1,0,0,2,0,1
4/4/2020,Leningrad region,47,6,0,0,47,0,1
4/4/2020,Moscow,77,434,7,26,3357,27,194
4/4/2020,Moscow region,50,49,0,13,260,2,30
4/4/2020,Novgorod region,53,0,0,1,3,0,1
4/4/2020,Omsk region,55,1,0,0,10,0,0
